,_id,page_url,title,domain_tags,primary_domain,score
1212,5f1bb3ef896f82cdbda61177,/entries/iamblichus/,Iamblichus,Thinker,Thinker,5.492995761
595,5f1bb91b896f82cdbda614af,/entries/spinoza-political/,Spinoza’s Political Philosophy,"Thinker,Social and Political Philosophy",Thinker,5.501938772
896,5f1bb7a5896f82cdbda613d0,/entries/pufendorf-moral/,Pufendorf’s Moral and Political Philosophy,"Thinker,Ethics",Social and Political Philosophy,5.507222198
546,5f1baf4b896f82cdbda60ee6,/entries/al-kindi/,al-Kindi,"Thinker,Arabic and Islamic Philosophy",Thinker,5.513660017
211,5f1baffe896f82cdbda60f4d,/entries/benjamin/,Walter Benjamin,"Thinker,Continental Philosophy,Aesthetics and Philosophy of Art,Social and Political Philosophy",Thinker,5.515076931
1097,5f1bb273896f82cdbda61098,/entries/erasmus/,Desiderius Erasmus,Thinker,Thinker,5.516878564
911,5f1bb4ab896f82cdbda611fc,/entries/kyoto-school/,The Kyoto School,"Japanese Philosophy, Metaphysics",Japanese Philosophy,5.519421285
1305,5f1bb4fe896f82cdbda61237,/entries/llull/,Ramon Llull,"Thinker,Philosophy of Religion",Thinker,5.520171078
824,5f1bba07896f82cdbda61543,/entries/wyclif-political/,John Wyclif’s Political Philosophy,"Thinker,Social and Political Philosophy",Thinker,5.526600367
805,5f1bb2fd896f82cdbda610ed,/entries/ficino/,Marsilio Ficino,Thinker,Thinker,5.530543903
509,5f1baf88896f82cdbda60f0a,/entries/aquinas-moral-political/,"Aquinas’ Moral, Political, and Legal Philosophy","Thinker,Social and Political Philosophy,Ethics",Social and Political Philosophy,5.538837116
67,5f1baf13896f82cdbda60ec6,/entries/abraham-daud/,Abraham Ibn Daud,"Thinker,Jewish Philosophy",Thinker,5.542601872
428,5f1bb6d4896f82cdbda6135c,/entries/perfect-goodness/,Perfect Goodness,Ethics,Ethics,5.554223712
612,5f1bb1ec896f82cdbda61053,/entries/divine-freedom/,Divine Freedom,Philosophy of Religion,Philosophy of Religion,5.563824489
169,5f1bb587896f82cdbda61294,/entries/marsilius-inghen/,Marsilius of Inghen,Thinker,Thinker,5.574140965
846,5f1bb3e4896f82cdbda61170,/entries/hume-freewill/,Hume on Free Will,"Thinker,Philosophy of Mind",Philosophy of Mind,5.575819023
1247,5f1bb3d8896f82cdbda6116b,/entries/hope/,Hope,Philosophy of Mind,Philosophy of Mind,5.590492367
1040,5f1bb1ed896f82cdbda61054,/entries/divine-hiddenness/,Hiddenness of God,Philosophy of Religion,Philosophy of Religion,5.604929777
587,5f1bb5c6896f82cdbda612c4,/entries/michel-henry/,Michel Henry,"Thinker,Continental Philosophy, Aesthetics and Philosophy of Art",Thinker,5.634591831
1186,5f1bb8fb896f82cdbda6149b,/entries/sophists/,The Sophists,"Philosophy of Language,Logic",Philosophy of Language,5.639570899
59,5f1bb43d896f82cdbda611a8,/entries/innateness-history/,The Historical Controversies Surrounding Innateness,"Metaphysics, Philosophy of Mind",Metaphysics,5.640382111
1171,5f1bb773896f82cdbda613b7,/entries/process-philosophy/,Process Philosophy,Metaphysics,Metaphysics,5.648233099
1326,5f1bb348896f82cdbda6111b,/entries/galen/,Galen,"Thinker, Logic, Epistemology, Philosophy of Biology",Thinker,5.659971453
58,5f1bb5ee896f82cdbda612e1,/entries/moral-arguments-god/,Moral Arguments for the Existence of God,"Ethics,Philosophy of Religion",Philosophy of Religion,5.669467792
1049,5f1bb460896f82cdbda611c1,/entries/japanese-philosophy/,Japanese Philosophy,Japanese Philosophy,Japanese Philosophy,5.670472646
1303,5f1bb93c896f82cdbda614c4,/entries/suarez/,Francisco Suárez,"Thinker,Metaphysics",Thinker,5.68807628
952,5f1bb74d896f82cdbda613a2,/entries/practical-reason-med/,Medieval Theories of Practical Reason,"Philosophy of Mind,Logic,Ethics",Logic,5.695248668
1263,5f1bb45c896f82cdbda611be,/entries/james/,William James,"Thinker, Philosophy of Mind, Philosophy of Religion",Thinker,5.698554661
1469,5f1bb8db896f82cdbda61489,/entries/skepticism-medieval/,Medieval Skepticism,Epistemology,Epistemology,5.699097247
514,5f1bb6e7896f82cdbda61367,/entries/phenomenology-religion/,Phenomenology of Religion,"Epistemology,Philosophy of Religion",Epistemology,5.718994307
654,5f1bb739896f82cdbda61397,/entries/polqar/,Isaac Polqar,"Thinker,Jewish Philosophy",Thinker,5.725848359
122,5f1bb1d0896f82cdbda61043,/entries/diderot/,Denis Diderot,"Thinker, Aesthetics and Philosophy of Art, Philosophy of Language",Thinker,5.743267845
254,5f1bb2ad896f82cdbda610bb,/entries/existentialism/,Existentialism,Continental Philosophy,Continental Philosophy,5.751555466
809,5f1bb33a896f82cdbda61113,/entries/friedrich-jacobi/,Friedrich Heinrich Jacobi,Thinker,Thinker,5.768456038
1233,5f1bb2b8896f82cdbda610c0,/entries/faith/,Faith,Philosophy of Religion,Philosophy of Religion,5.783266437
1483,5f1bb2ba896f82cdbda610c1,/entries/falaquera/,Shem Tov Ibn Falaquera,"Thinker, Jewish Philosophy",Thinker,5.787683605
635,5f1bb46a896f82cdbda611c9,/entries/johann-fichte/,Johann Gottlieb Fichte,"Thinker,Metaphysics",Thinker,5.789116164
1100,5f1bb4e7896f82cdbda61226,/entries/leibowitz-yeshayahu/,Yeshayahu Leibowitz,"Thinker, Jewish Philosophy",Thinker,5.798980468
498,5f1bb01d896f82cdbda60f5d,/entries/boethius/,Anicius Manlius Severinus Boethius,"Thinker,Logic",Thinker,5.800330763
276,5f1bb8cf896f82cdbda61480,/entries/simone-weil/,Simone Weil,"Thinker,Continental Philosophy,Social and Political Philosophy, Ethics",Thinker,5.819494629
1002,5f1baf09896f82cdbda60ebf,/entries/18thGerman-preKant/,18th Century German Philosophy Prior to Kant,"Metaphysics, Epistemology",Metaphysics,5.829757564
999,5f1bb798896f82cdbda613c8,/entries/providence-divine/,Divine Providence,Philosophy of Religion,Philosophy of Religion,5.840721248
