,_id,page_url,title,domain_tags,primary_domain,score
371,5f1bafcb896f82cdbda60f30,/entries/astell/,Mary Astell,"Thinker,Feminist Philosophy",Thinker,3.139595839
1658,5f1bb0cd896f82cdbda60fbc,/entries/colonialism/,Colonialism,Social and Political Philosophy,Social and Political Philosophy,3.140896481
1220,5f1bb1a2896f82cdbda61028,/entries/demonstration-medieval/,Medieval Theories of Demonstration,Logic,Logic,3.14111195
8,5f1bb11b896f82cdbda60fe4,/entries/consciousness/,Consciousness,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,3.14772925
1690,5f1bb10d896f82cdbda60fde,/entries/consciousness-higher/,Higher-Order Theories of Consciousness,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,3.153775809
322,5f1bb7ae896f82cdbda613d5,/entries/qing-philosophy/,Qing Philosophy,Chinese Philosophy,Chinese Philosophy,3.159167513
1354,5f1bb6dc896f82cdbda61360,/entries/personalism/,Personalism,"Philosophy of Mind,Ethics,Social and Political Philosophy",Philosophy of Mind,3.187923402
543,5f1bb38f896f82cdbda61145,/entries/halevi/,Judah Halevi,"Thinker,Jewish Philosophy",Thinker,3.191191473
646,5f1bb06f896f82cdbda60f87,/entries/catharine-macaulay/,Catharine Macaulay,"Thinker, Social and Political Philosophy",Thinker,3.19629747
440,5f1bb4ee896f82cdbda6122c,/entries/lewis-metaphysics/,David Lewis’s Metaphysics,Thinker,Metaphysics,3.198247719
683,5f1bb838896f82cdbda61423,/entries/religious-pluralism/,Religious Diversity (Pluralism),"Philosophy of Religion,Social and Political Philosophy",Philosophy of Religion,3.198736798
829,5f1bb1c8896f82cdbda6103d,/entries/dewey-political/,Dewey’s Political Philosophy,Thinker,Social and Political Philosophy,3.203362671
838,5f1bb9bd896f82cdbda61514,/entries/vagueness/,Vagueness,Philosophy of Language,Philosophy of Language,3.20790133
1337,5f1bb783896f82cdbda613be,/entries/proof-theory/,Proof Theory,"Logic,Philosophy of Mathematics",Logic,3.213468674
1497,5f1bb001896f82cdbda60f4e,/entries/bentham/,Jeremy Bentham,"Thinker,Social and Political Philosophy,Ethics",Thinker,3.213739996
1067,5f1bb71f896f82cdbda61386,/entries/plato-parmenides/,Plato’s Parmenides,Thinker,Metaphysics,3.220393912
598,5f1bafc6896f82cdbda60f2d,/entries/artificial-intelligence/,Artificial Intelligence,Philosophy of Computer Science,Philosophy of Computer Science,3.225208212
168,5f1bb8b8896f82cdbda61471,/entries/seneca/,Seneca,"Thinker, Ethics, Social and Political Philosophy",Thinker,3.22613316
502,5f1bb8fa896f82cdbda6149a,/entries/sophismata/,Sophismata,Philosophy of Language,Philosophy of Language,3.226661499
1543,5f1bb08c896f82cdbda60f96,/entries/chaos/,Chaos,Philosophy of Physics,Philosophy of Physics,3.227070689
1382,5f1bb038896f82cdbda60f6d,/entries/broad/,Charlie Dunbar Broad,"Thinker, Philosophy of Science",Thinker,3.232851078
786,5f1bb166896f82cdbda6100c,/entries/critical-thinking/,Critical Thinking,Logic,Logic,3.233370022
987,5f1bba19896f82cdbda6154e,/entries/zombies/,Zombies,Philosophy of Mind,Philosophy of Mind,3.239284524
1425,5f1bb087896f82cdbda60f94,/entries/chance-randomness/,Chance versus Randomness,Philosophy of Mathematics,Philosophy of Mathematics,3.239350154
648,5f1bb3e6896f82cdbda61171,/entries/hume-moral/,Hume’s Moral Philosophy,"Thinker,Ethics",Ethics,3.239514784
1323,5f1bb7c5896f82cdbda613e2,/entries/qt-consciousness/,Quantum Approaches to Consciousness,"Philosophy of Physics,Philosophy of Mind",Philosophy of Physics,3.239565777
1385,5f1bb193896f82cdbda61020,/entries/defaults-semantics-pragmatics/,Defaults in Semantics and Pragmatics,Philosophy of Language,Philosophy of Language,3.242428786
528,5f1bb770896f82cdbda613b5,/entries/probability-medieval-renaissance/,Probability in Medieval and Renaissance Philosophy,Philosophy of Mathematics,Philosophy of Mathematics,3.245115438
243,5f1bb3a3896f82cdbda61150,/entries/hegel-dialectics/,Hegel’s Dialectics,"Thinker,Logic",Thinker,3.246026778
741,5f1bb66c896f82cdbda6132b,/entries/ockham/,William of Ockham,"Thinker,Logic",Thinker,3.25292695
393,5f1bb9df896f82cdbda61529,/entries/well-being/,Well-Being,"Ethics,Social and Political Philosophy",Ethics,3.257071643
342,5f1bb100896f82cdbda60fd6,/entries/confirmation/,Confirmation,"Epistemology,Logic",Epistemology,3.25720092
1007,5f1bb62c896f82cdbda61302,/entries/natural-properties/,Natural Properties,Metaphysics,Metaphysics,3.258625874
643,5f1bb9fa896f82cdbda6153a,/entries/wittgenstein-atomism/,Wittgenstein’s Logical Atomism,"Thinker,Logic",Logic,3.259642313
653,5f1bb662896f82cdbda61324,/entries/novalis/,Georg Friedrich Philipp von Hardenberg [Novalis],Thinker,Thinker,3.259700263
1344,5f1bb653896f82cdbda6131c,/entries/nietzsche/,Friedrich Nietzsche,"Thinker,Continental Philosophy,Ethics, Metaphysics",Thinker,3.260316576
304,5f1bb27e896f82cdbda610a0,/entries/ethics-belief/,The Ethics of Belief,"Ethics,Philosophy of Mind",Ethics,3.260867741
1633,5f1bb48b896f82cdbda611e2,/entries/kant-leibniz/,Leibniz’s Influence on Kant,Thinker,Thinker,3.262878341
1025,5f1bb541896f82cdbda61260,/entries/logic-modal-origins/,Modern Origins of Modal Logic,Logic,Logic,3.26308539
1250,5f1bb925896f82cdbda614b5,/entries/states-of-affairs/,States of Affairs,Metaphysics,Metaphysics,3.263799953
951,5f1bb4ca896f82cdbda61211,/entries/laws-of-nature/,Laws of Nature,Philosophy of Science,Philosophy of Science,3.264405438
472,5f1bb55d896f82cdbda61272,/entries/logical-pluralism/,Logical Pluralism,Logic,Logic,3.26637469
245,5f1bafce896f82cdbda60f32,/entries/atomism-ancient/,Ancient Atomism,Metaphysics,Metaphysics,3.266511636
1190,5f1bb7e0896f82cdbda613f2,/entries/questions/,Questions,Philosophy of Language,Philosophy of Language,3.267413618
1419,5f1bb0c1896f82cdbda60fb6,/entries/cohen/,Hermann Cohen,"Thinker, Jewish Philosophy,Epistemology,Philosophy of Religion",Thinker,3.267510331
